"행정구역","2022년_남_총인구수","2022년_남_연령구간인구수","2022년_남_0세","2022년_남_1세","2022년_남_2세","2022년_남_3세","2022년_남_4세","2022년_남_5세","2022년_남_6세","2022년_남_7세","2022년_남_8세","2022년_남_9세","2022년_남_10세","2022년_남_11세","2022년_남_12세","2022년_남_13세","2022년_남_14세","2022년_남_15세","2022년_남_16세","2022년_남_17세","2022년_남_18세","2022년_남_19세","2022년_남_20세","2022년_남_21세","2022년_남_22세","2022년_남_23세","2022년_남_24세","2022년_남_25세","2022년_남_26세","2022년_남_27세","2022년_남_28세","2022년_남_29세","2022년_남_30세","2022년_남_31세","2022년_남_32세","2022년_남_33세","2022년_남_34세","2022년_남_35세","2022년_남_36세","2022년_남_37세","2022년_남_38세","2022년_남_39세","2022년_남_40세","2022년_남_41세","2022년_남_42세","2022년_남_43세","2022년_남_44세","2022년_남_45세","2022년_남_46세","2022년_남_47세","2022년_남_48세","2022년_남_49세","2022년_남_50세","2022년_남_51세","2022년_남_52세","2022년_남_53세","2022년_남_54세","2022년_남_55세","2022년_남_56세","2022년_남_57세","2022년_남_58세","2022년_남_59세","2022년_남_60세","2022년_남_61세","2022년_남_62세","2022년_남_63세","2022년_남_64세","2022년_남_65세","2022년_남_66세","2022년_남_67세","2022년_남_68세","2022년_남_69세","2022년_남_70세","2022년_남_71세","2022년_남_72세","2022년_남_73세","2022년_남_74세","2022년_남_75세","2022년_남_76세","2022년_남_77세","2022년_남_78세","2022년_남_79세","2022년_남_80세","2022년_남_81세","2022년_남_82세","2022년_남_83세","2022년_남_84세","2022년_남_85세","2022년_남_86세","2022년_남_87세","2022년_남_88세","2022년_남_89세","2022년_남_90세","2022년_남_91세","2022년_남_92세","2022년_남_93세","2022년_남_94세","2022년_남_95세","2022년_남_96세","2022년_남_97세","2022년_남_98세","2022년_남_99세","2022년_남_100세 이상","2022년_여_총인구수","2022년_여_연령구간인구수","2022년_여_0세","2022년_여_1세","2022년_여_2세","2022년_여_3세","2022년_여_4세","2022년_여_5세","2022년_여_6세","2022년_여_7세","2022년_여_8세","2022년_여_9세","2022년_여_10세","2022년_여_11세","2022년_여_12세","2022년_여_13세","2022년_여_14세","2022년_여_15세","2022년_여_16세","2022년_여_17세","2022년_여_18세","2022년_여_19세","2022년_여_20세","2022년_여_21세","2022년_여_22세","2022년_여_23세","2022년_여_24세","2022년_여_25세","2022년_여_26세","2022년_여_27세","2022년_여_28세","2022년_여_29세","2022년_여_30세","2022년_여_31세","2022년_여_32세","2022년_여_33세","2022년_여_34세","2022년_여_35세","2022년_여_36세","2022년_여_37세","2022년_여_38세","2022년_여_39세","2022년_여_40세","2022년_여_41세","2022년_여_42세","2022년_여_43세","2022년_여_44세","2022년_여_45세","2022년_여_46세","2022년_여_47세","2022년_여_48세","2022년_여_49세","2022년_여_50세","2022년_여_51세","2022년_여_52세","2022년_여_53세","2022년_여_54세","2022년_여_55세","2022년_여_56세","2022년_여_57세","2022년_여_58세","2022년_여_59세","2022년_여_60세","2022년_여_61세","2022년_여_62세","2022년_여_63세","2022년_여_64세","2022년_여_65세","2022년_여_66세","2022년_여_67세","2022년_여_68세","2022년_여_69세","2022년_여_70세","2022년_여_71세","2022년_여_72세","2022년_여_73세","2022년_여_74세","2022년_여_75세","2022년_여_76세","2022년_여_77세","2022년_여_78세","2022년_여_79세","2022년_여_80세","2022년_여_81세","2022년_여_82세","2022년_여_83세","2022년_여_84세","2022년_여_85세","2022년_여_86세","2022년_여_87세","2022년_여_88세","2022년_여_89세","2022년_여_90세","2022년_여_91세","2022년_여_92세","2022년_여_93세","2022년_여_94세","2022년_여_95세","2022년_여_96세","2022년_여_97세","2022년_여_98세","2022년_여_99세","2022년_여_100세 이상"
"전국  (0000000000)","25,636,951","25,636,951","124,860","135,737","141,983","158,148","170,826","187,428","211,336","227,921","225,874","226,266","251,465","244,489","244,254","230,789","241,184","254,764","232,185","225,258","244,473","254,738","256,777","289,481","332,182","321,529","332,403","345,703","357,880","372,204","377,691","375,739","380,401","366,123","338,343","327,017","325,694","315,068","324,338","334,034","337,552","380,294","416,580","426,765","424,026","414,787","370,224","388,474","386,641","394,626","433,404","443,471","452,417","474,186","459,648","457,900","456,042","417,246","416,131","416,402","410,942","392,407","434,327","439,721","439,838","404,951","372,165","366,439","326,187","329,365","283,917","238,709","261,601","187,826","197,606","196,408","192,484","187,551","147,535","125,955","127,404","122,185","143,288","110,904","90,681","86,889","72,066","60,550","50,456","42,392","32,974","24,047","18,780","12,766","9,357","7,680","5,111","3,517","2,003","1,354","1,053","898","1,261","25,802,087","25,802,087","119,390","129,051","135,546","149,827","162,222","176,770","201,826","216,922","215,170","215,539","238,682","232,084","229,670","217,580","227,755","241,047","217,288","210,324","228,149","237,018","236,142","267,771","304,647","296,024","304,885","322,820","324,631","333,089","333,398","332,185","342,582","334,391","300,933","302,717","299,056","301,505","301,959","316,668","322,064","364,772","401,703","409,002","408,207","407,847","347,108","385,083","369,811","388,509","416,146","440,703","431,965","456,725","445,884","452,199","455,106","429,377","384,124","417,562","404,209","381,592","424,192","448,770","455,437","419,450","379,186","376,282","341,922","360,050","299,692","262,939","289,171","210,432","223,872","225,992","222,864","226,356","177,835","159,398","171,641","171,601","206,983","168,690","146,866","147,494","129,488","115,958","104,221","94,568","79,110","62,968","53,862","40,530","33,678","26,861","20,681","15,231","9,401","6,779","4,349","3,854","6,472"
"서울특별시  (1100000000)","4,570,048","4,570,048","20,889","22,598","22,682","25,100","26,256","28,126","31,875","34,153","33,961","34,377","38,110","36,770","37,636","35,599","38,047","40,542","37,410","36,274","40,172","43,089","43,008","48,209","58,894","58,925","63,617","69,486","74,818","80,094","83,700","83,488","84,426","81,228","74,409","70,408","69,412","65,080","65,411","65,880","65,006","71,415","75,085","76,652","75,042","72,817","63,751","67,051","67,463","68,036","75,016","76,114","79,101","83,211","79,849","78,502","75,813","69,109","67,394","68,306","68,371","65,527","70,636","70,110","71,539","67,595","62,961","62,446","56,025","58,313","50,234","43,585","47,338","32,837","36,306","35,957","35,357","35,399","28,257","24,598","24,388","23,169","27,069","20,913","16,686","15,547","12,799","10,589","8,556","7,309","5,383","4,086","3,170","2,125","1,636","1,422","962","677","368","252","199","186","274","4,858,324","4,858,324","19,853","21,352","21,495","23,020","24,374","26,962","30,501","32,807","32,493","32,443","36,140","34,923","35,503","33,882","35,892","38,290","35,208","34,222","38,271","43,138","45,930","53,464","64,789","67,660","73,878","80,848","83,366","85,382","85,561","84,366","85,287","81,998","72,290","70,489","68,750","66,484","65,089","66,253","65,207","71,286","75,986","76,117","75,938","76,203","63,314","71,031","68,262","70,636","75,302","79,890","80,021","84,030","81,767","80,485","79,049","75,398","65,080","72,505","71,597","67,687","73,158","76,987","80,359","74,877","69,709","69,658","63,947","68,339","56,855","50,454","54,691","38,064","42,468","43,129","42,334","43,599","35,042","30,387","30,594","29,582","34,232","27,285","23,234","22,474","19,322","17,195","15,054","13,560","11,046","8,870","7,500","5,685","4,875","4,037","3,124","2,366","1,490","980","722","578","1,018"
"부산광역시  (2600000000)","1,619,915","1,619,915","7,066","7,673","8,022","8,903","9,993","11,137","12,521","13,712","13,568","13,258","14,734","14,021","13,934","12,833","13,401","14,086","12,693","12,537","13,657","14,840","14,698","17,152","20,561","20,338","20,862","21,190","22,207","22,115","22,415","22,473","22,696","21,963","20,027","19,715","19,198","18,293","19,116","19,508","20,173","22,866","25,271","26,735","26,738","25,892","22,919","23,388","22,641","23,811","25,721","26,541","27,257","27,974","27,759","27,611","27,753","25,800","25,666","25,159","25,218","25,266","28,642","29,347","30,278","28,031","26,727","27,146","24,739","25,480","22,688","18,816","20,473","16,146","15,931","15,686","15,465","14,455","11,502","9,567","10,304","9,907","10,444","8,155","6,795","6,125","4,893","4,030","3,297","2,571","1,989","1,436","1,049","785","510","458","289","171","103","60","45","32","73","1,697,897","1,697,897","6,726","7,189","7,558","8,592","9,550","10,541","12,100","12,942","12,716","12,610","13,843","13,598","13,138","12,015","12,695","13,369","12,001","11,759","12,962","13,818","14,227","16,782","19,411","18,984","19,404","20,352","20,474","20,514","20,747","20,492","21,162","20,480","18,003","18,711","18,150","18,118","17,698","18,694","19,428","22,428","24,559","25,872","25,983","25,746","21,360","23,205","21,997","23,847","25,451","27,065","26,945","28,631","28,364","28,966","29,485","28,984","25,293","27,916","26,943","26,732","30,785","33,424","34,186","31,810","29,570","29,999","27,688","30,409","23,832","22,262","23,690","19,024","18,533","19,166","18,675","18,060","13,847","11,854","13,362","13,071","14,634","12,170","10,661","10,166","8,464","7,440","6,518","5,850","4,836","3,674","3,190","2,419","1,793","1,551","1,270","981","523","404","242","206","333"
"대구광역시  (2700000000)","1,162,865","1,162,865","5,081","5,697","5,961","7,126","7,560","8,537","9,848","10,435","10,335","10,162","11,436","11,080","11,117","10,376","11,043","11,664","10,713","10,826","11,693","12,768","12,388","14,297","16,373","15,847","15,790","16,158","16,128","16,548","16,323","16,196","16,620","16,060","14,849","14,726","13,862","13,597","14,165","14,149","14,052","15,897","17,520","18,164","18,137","17,946","16,028","17,184","17,335","17,802","19,417","19,942","20,883","21,492","21,082","21,014","22,001","20,102","19,562","19,342","19,279","18,267","20,412","20,758","19,570","19,145","16,448","16,848","15,279","14,744","12,852","11,379","12,264","9,401","9,261","9,458","9,161","8,329","6,025","5,161","5,874","5,898","6,597","5,006","4,040","3,987","3,174","2,667","2,302","1,855","1,482","1,042","846","544","326","244","182","123","64","52","36","22","25","1,200,826","1,200,826","4,913","5,317","5,706","6,546","7,315","8,124","9,424","9,893","9,909","9,841","10,859","10,516","10,360","9,701","10,229","11,168","9,895","9,825","10,600","11,663","10,999","12,978","14,693","13,994","13,558","14,586","14,509","14,703","14,209","14,086","14,383","13,916","12,304","12,700","11,645","12,212","12,177","13,046","13,292","15,805","17,908","18,437","18,375","18,870","15,548","17,822","17,362","18,899","19,773","21,333","21,441","22,308","21,844","22,485","22,661","22,099","18,963","21,167","20,176","18,974","21,342","22,290","21,462","21,318","17,222","18,156","16,679","17,729","13,986","13,721","14,963","11,328","11,067","11,561","11,655","10,982","7,624","7,050","8,445","8,652","9,533","8,005","6,872","6,873","5,763","5,209","4,531","4,149","3,380","2,631","2,237","1,676","1,306","986","793","566","335","241","131","120","213"
"인천광역시  (2800000000)","1,485,175","1,485,175","7,403","8,056","8,558","9,621","10,256","11,034","12,296","13,460","13,215","13,156","14,538","14,533","14,175","13,472","13,737","14,843","13,383","12,883","13,850","14,601","14,610","16,516","18,536","18,291","19,003","20,078","20,998","22,004","22,828","23,304","23,472","22,930","20,964","20,119","19,951","18,992","19,696","20,468","20,677","23,265","25,502","26,529","25,927","25,619","22,146","23,423","22,830","23,793","25,478","25,830","26,463","27,261","26,645","26,239","26,069","24,040","23,882","25,043","24,991","23,853","26,138","26,361","26,177","23,654","21,750","20,550","17,892","17,928","14,904","12,462","13,738","8,828","9,991","9,905","9,593","9,309","7,517","6,224","6,114","5,907","6,485","4,963","4,028","3,854","3,241","2,658","2,243","1,920","1,460","1,083","796","590","415","345","252","207","107","55","53","67","76","1,482,139","1,482,139","7,214","7,660","8,113","8,939","9,729","10,321","11,946","12,752","12,562","12,651","13,808","13,678","13,389","12,716","13,281","14,213","12,440","12,221","13,174","13,805","13,400","15,211","17,271","17,014","17,588","19,194","19,327","20,202","20,451","20,700","21,533","20,839","18,762","18,590","18,210","18,128","18,185","18,975","19,408","22,098","24,043","24,709","24,447","24,088","20,895","22,607","21,285","22,786","23,971","25,940","25,352","26,627","26,102","26,779","27,318","25,438","23,420","25,475","25,205","23,449","26,011","26,186","26,447","23,806","21,965","21,081","18,511","19,228","15,920","13,492","14,640","9,579","10,701","11,159","10,746","11,373","9,146","7,701","7,939","7,989","9,580","7,805","6,553","6,662","6,035","5,236","4,896","4,308","3,625","3,021","2,599","2,054","1,674","1,372","1,022","787","489","382","257","181","347"
"광주광역시  (2900000000)","707,299","707,299","3,784","4,153","4,008","4,592","5,154","5,696","6,411","6,963","6,956","7,065","7,987","7,576","7,752","7,367","7,610","8,382","7,530","7,330","8,001","8,601","8,346","9,769","10,943","10,412","10,511","10,928","10,734","10,842","10,762","10,334","10,476","9,711","8,784","8,424","8,271","8,260","8,388","8,855","9,305","10,697","11,733","11,691","11,567","11,659","10,390","11,131","11,288","11,120","12,585","12,565","12,739","13,155","12,788","12,153","12,666","11,418","11,370","10,841","10,450","10,386","10,258","10,266","10,959","9,715","8,642","8,495","7,276","7,540","6,238","5,211","5,865","4,720","4,915","4,980","4,582","4,669","3,841","3,231","3,105","2,765","3,775","2,725","2,145","2,045","1,735","1,467","1,080","962","808","513","413","277","211","208","101","82","42","29","16","11","16","723,751","723,751","3,549","3,946","3,972","4,528","4,813","5,278","6,306","6,507","6,610","6,686","7,311","7,133","7,261","6,958","7,218","7,730","7,010","6,827","7,426","7,847","7,889","8,985","10,190","9,531","9,646","9,968","9,731","10,179","9,525","9,394","9,483","8,987","7,904","7,941","7,841","7,935","8,185","8,648","9,005","10,317","11,566","11,630","11,717","12,126","10,374","11,565","11,255","11,221","12,610","12,947","12,827","13,350","12,963","12,336","13,016","11,841","11,046","11,481","10,490","10,563","10,564","10,922","11,919","10,773","9,573","9,329","7,843","8,516","7,079","6,214","6,963","5,632","5,885","6,230","5,671","6,116","4,653","4,218","4,178","3,850","5,191","4,193","3,499","3,311","2,982","2,688","2,204","2,106","1,838","1,415","1,167","894","868","613","463","316","237","163","81","113","157"
"대전광역시  (3000000000)","721,245","721,245","3,942","4,125","4,111","4,386","4,806","5,405","6,099","6,580","6,532","6,551","7,180","7,158","7,054","6,781","7,227","7,662","7,083","6,883","7,679","7,828","7,870","8,944","10,545","10,476","10,879","11,307","11,654","11,974","11,729","11,448","11,385","10,811","10,207","9,646","9,598","9,132","9,329","9,360","9,182","10,248","11,256","11,554","11,277","11,172","10,237","10,765","10,816","11,026","12,101","12,600","12,692","13,465","12,950","13,066","12,979","11,534","11,087","10,963","10,961","9,877","11,612","11,933","11,590","10,513","9,459","9,631","8,727","8,560","7,425","6,133","6,529","4,784","5,224","4,988","4,820","4,463","3,566","3,136","3,157","2,945","3,575","2,710","1,985","2,149","1,792","1,476","1,197","999","808","610","498","306","243","161","135","88","43","37","27","11","26","724,827","724,827","3,709","3,799","3,811","4,366","4,558","5,150","5,762","6,182","6,072","6,287","6,744","6,694","6,635","6,367","6,711","7,254","6,557","6,329","7,068","7,394","7,611","8,896","10,050","9,678","9,934","10,364","10,208","10,263","10,173","9,884","10,000","9,741","8,601","8,466","8,181","8,411","8,292","8,706","8,826","9,869","11,058","11,363","11,368","11,264","10,187","11,077","11,041","11,185","12,169","13,138","12,468","13,172","12,621","13,244","13,405","11,959","10,424","11,328","11,049","10,016","11,699","12,528","12,480","11,370","9,912","10,061","9,205","9,492","8,275","6,650","7,188","5,381","5,817","5,711","5,653","5,331","4,225","3,912","4,162","4,137","4,987","4,003","3,189","3,504","3,038","2,654","2,500","2,158","1,843","1,464","1,228","962","771","613","497","361","208","162","104","98","155"
"울산광역시  (3100000000)","570,368","570,368","2,686","3,156","3,203","3,715","4,036","4,636","5,343","5,709","5,673","5,547","6,151","5,924","5,927","5,627","5,785","6,107","5,401","5,360","5,667","5,792","5,656","6,717","7,158","6,927","7,097","7,501","7,968","8,019","7,994","8,036","8,040","7,747","7,268","7,339","7,115","6,940","7,142","7,348","7,571","8,423","9,528","9,936","9,983","9,674","8,715","8,956","8,670","8,644","9,406","9,588","9,844","10,501","10,281","10,560","10,885","10,205","10,620","10,772","10,177","9,509","10,611","10,664","10,092","9,293","8,437","7,904","7,170","6,960","5,957","5,218","5,200","4,027","3,945","3,708","3,704","3,267","2,403","1,964","1,979","1,981","2,176","1,485","1,279","1,133","892","688","546","455","409","284","205","129","97","85","42","26","16","10","8","11","3","540,295","540,295","2,589","2,915","3,230","3,564","3,871","4,256","4,919","5,334","5,337","5,342","5,809","5,465","5,442","5,112","5,357","5,729","4,966","4,734","5,027","4,820","4,483","5,011","5,760","5,461","5,486","5,816","5,732","6,159","6,148","6,080","6,335","6,588","5,878","6,131","5,857","6,072","6,261","6,524","6,997","8,059","9,020","9,194","9,348","9,125","7,630","8,550","7,959","8,570","9,256","9,878","9,839","10,554","10,513","10,761","11,073","10,729","9,467","10,151","9,492","8,755","9,675","10,335","10,048","9,061","8,210","7,982","7,191","7,387","5,795","5,363","5,344","4,124","4,002","3,860","3,770","3,559","2,583","2,226","2,647","2,623","3,033","2,235","2,081","1,938","1,754","1,530","1,377","1,262","1,054","855","710","565","386","351","264","201","117","94","74","51","58"
